theta_deg,torque_Nm
63.2500,0.0036086932799786753
63.5000,0.0035749671745583123
63.7500,0.003541241069137951
64.0000,0.0035075149637175903
64.2500,0.003473788858297229
64.5000,0.0034400627528768683
64.7500,0.003406336647456507
65.0000,0.003372610542036144
65.2500,0.0033388844366157833
65.5000,0.0033051583311954204
65.7500,0.003271432225775059
66.0000,0.0032377061203546983
66.2500,0.003203980014934337
66.5000,0.0031702539095139763
66.7500,0.003136527804093615
67.0000,0.003102801698673254
67.2500,0.0030690755932528914
67.5000,0.00303534948783253
67.7500,0.003001623382412169
68.0000,0.0029678972769918064
68.2500,0.002934171171571445
68.5000,0.0029004450661510844
68.7500,0.002866718960730723
69.0000,0.002832992855310362
69.2500,0.0027992667498899994
69.5000,0.002765540644469638
69.7500,0.002731814539049277
70.0000,0.002698088433628916
70.2500,0.002664362328208555
70.5000,0.002630636222788194
70.7500,0.002596910117367831
71.0000,0.00256318401194747
71.2500,0.0025294579065271074
71.5000,0.002495731801106746
71.7500,0.002462005695686385
72.0000,0.002428279590266024
72.2500,0.002394553484845663
72.5000,0.002360827379425302
72.7500,0.002327101274004941
73.0000,0.002293375168584578
73.2500,0.002259649063164217
73.5000,0.0022259229577438542
73.7500,0.0021921968523234935
74.0000,0.0021584707469031322
74.2500,0.002124744641482771
74.5000,0.00209101853606241
74.7500,0.002057292430642049
75.0000,0.002023566325221686
75.2500,0.0019898402198013252
75.5000,0.001956114114380964
75.7500,0.001922388008960603
76.0000,0.001888661903540242
76.2500,0.0018549357981198793
76.5000,0.001821209692699518
76.7500,0.001787483587279157
77.0000,0.0017537574818587943
77.2500,0.0017200313764384333
77.5000,0.001686305271018072
77.7500,0.001652579165597711
78.0000,0.00161885306017735
78.2500,0.001585126954756989
78.5000,0.0015514008493366278
78.7500,0.001517674743916265
79.0000,0.001483948638495904
79.2500,0.0014502225330755413
79.5000,0.00141649642765518
79.7500,0.001382770322234819
80.0000,0.001349044216814458
80.2500,0.001315318111394097
80.5000,0.0012815920059737358
80.7500,0.001247865900553373
81.0000,0.001214139795133012
81.2500,0.001180413689712651
81.5000,0.0011466875842922899
81.7500,0.0011129614788719271
82.0000,0.0010792353734515679
82.2500,0.001045509268031205
82.5000,0.0010117831626108439
82.7500,0.0009780570571904811
83.0000,0.0009443309517701201
83.2500,0.000910604846349759
83.5000,0.0008768787409293963
83.7500,0.0008431526355090369
84.0000,0.0008094265300886742
84.2500,0.0007757004246683148
84.5000,0.000741974319247952
84.7500,0.0007082482138275909
85.0000,0.0006745221084072282
85.2500,0.0006407960029868688
85.5000,0.000607069897566506
85.7500,0.0005733437921461433
86.0000,0.0005396176867257839
86.2500,0.0005058915813054211
86.5000,0.00047216547588506007
86.7500,0.000438439370464699
87.0000,0.00040471326504433794
87.2500,0.00037098715962397515
87.5000,0.0003372610542036158
87.7500,0.000303534948783253
88.0000,0.00026980884336289196
88.2500,0.00023608273794253087
88.5000,0.0002023566325221681
88.7500,0.00016863052710180704
89.0000,0.00013490442168144425
89.2500,0.0001011783162610849
89.5000,0.00006745221084072212
89.7500,0.00003372610542036278
90.0000,0
